						
	Median	Median	Median	Median		Average Error
						
	Average Error	Average Error	Average Error	Average Error		
#1022 Valores	0,6923509384	0,6924312906	0,6923511429	0,6923509384		
						
	RMODE11 Error	RMODE10 Error	RMODE01 Error	RMODE00 Error		
	0,196716	0,196812	0,196716	0,196716		
	0,198360	0,198476	0,198360	0,198360		
	0,192262	0,192369	0,192262	0,192262		
	0,193896	0,194012	0,193896	0,193896		
	0,195565	0,195672	0,195565	0,195565		
	0,197213	0,197329	0,197213	0,197213		
	0,198896	0,198993	0,198896	0,198896		
	0,200830	0,200938	0,200830	0,200830		
	0,202548	0,202636	0,202548	0,202548		
	0,196299	0,196407	0,196299	0,196299		
	0,197976	0,198074	0,197976	0,197976		
	0,199681	0,199789	0,199681	0,199681		
	0,201363	0,201461	0,201363	0,201363		
	0,203081	0,203190	0,203081	0,203081		
	0,204788	0,204897	0,204788	0,204788		
	0,206532	0,206651	0,206532	0,206532		
	0,200155	0,200274	0,200155	0,200155		
	0,201908	0,202017	0,201908	0,201908		
	0,203648	0,203767	0,203648	0,203648		
	0,205405	0,205515	0,205405	0,205405		
	0,207141	0,207251	0,207141	0,207141		
	0,208914	0,209014	0,208914	0,208914		
